,name,offices
101,OCLC,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}, {'country_code': 'CAN'}, {'country_code': 'DEU'}, {'country_code': 'FRA'}, {'country_code': 'MEX'}, {'country_code': 'NLD'}, {'country_code': 'CHE'}, {'country_code': 'CAN'}, {'country_code': 'DEU'}, {'country_code': 'DEU'}, {'country_code': 'GBR'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}, {'country_code': 'DEU'}]"
102,frankst0ned,[{'country_code': 'AUS'}]
103,Rowdii,[{'country_code': 'AUS'}]
104,Mimosa Systems,"[{'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'GBR'}, {'country_code': 'FRA'}, {'country_code': 'DEU'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}, {'country_code': 'IND'}]"
105,Sibelius Software,"[{'country_code': 'GBR'}, {'country_code': 'USA'}, {'country_code': 'AUS'}]"
106,Cinergix,[{'country_code': 'AUS'}]
107,uTag,[{'country_code': 'AUS'}]
108,Interspire,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
109,Dedication Group,[{'country_code': 'AUS'}]
110,Infoactive Media,"[{'country_code': 'GBR'}, {'country_code': 'AUS'}]"
111,OCLC,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}, {'country_code': 'CAN'}, {'country_code': 'DEU'}, {'country_code': 'FRA'}, {'country_code': 'MEX'}, {'country_code': 'NLD'}, {'country_code': 'CHE'}, {'country_code': 'CAN'}, {'country_code': 'DEU'}, {'country_code': 'DEU'}, {'country_code': 'GBR'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}, {'country_code': 'DEU'}]"
112,frankst0ned,[{'country_code': 'AUS'}]
113,Rowdii,[{'country_code': 'AUS'}]
114,Mimosa Systems,"[{'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'GBR'}, {'country_code': 'FRA'}, {'country_code': 'DEU'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}, {'country_code': 'IND'}]"
115,Sibelius Software,"[{'country_code': 'GBR'}, {'country_code': 'USA'}, {'country_code': 'AUS'}]"
116,Cinergix,[{'country_code': 'AUS'}]
117,uTag,[{'country_code': 'AUS'}]
118,DirectMoney,[{'country_code': 'AUS'}]
119,Amethon Solutions,"[{'country_code': 'AUS'}, {'country_code': 'AUS'}]"
120,Viocorp,[{'country_code': 'AUS'}]
121,Envato,[{'country_code': 'AUS'}]
122,The Lost Agency,[{'country_code': 'AUS'}]
123,Devnet,[{'country_code': 'AUS'}]
124,OneSource Information Services,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'HKG'}, {'country_code': 'SGP'}, {'country_code': 'IND'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'GBR'}]"
125,BuzzNumbers,[{'country_code': 'AUS'}]
126,hornet,[{'country_code': 'AUS'}]
127,BonzaDat,[{'country_code': 'AUS'}]
128,Tony Bain Group,[{'country_code': 'AUS'}]
129,Gigantiq,[{'country_code': 'AUS'}]
130,Telstra,[{'country_code': 'AUS'}]
131,Clivir,[{'country_code': 'AUS'}]
132,GrabaDiscount,[{'country_code': 'AUS'}]
133,The Hyperfactory,"[{'country_code': 'AUS'}, {'country_code': 'NZL'}, {'country_code': 'CHN'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}]"
134,Beyond Software,[{'country_code': 'AUS'}]
135,MOZO,[{'country_code': 'AUS'}]
136,Bytemobile,"[{'country_code': 'CHN'}, {'country_code': 'GBR'}, {'country_code': 'ARE'}, {'country_code': 'USA'}, {'country_code': 'GRC'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}, {'country_code': 'USA'}]"
137,Vividas,[{'country_code': 'AUS'}]
138,SinoTech Group,"[{'country_code': 'CHN'}, {'country_code': 'CHN'}, {'country_code': 'AUS'}]"
139,SitePoint,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
140,Gourmet Ads,[{'country_code': 'AUS'}]
141,Allure Media,[{'country_code': 'AUS'}]
142,MarketMentat,[{'country_code': 'AUS'}]
143,Webslug,[{'country_code': 'AUS'}]
144,Saltlick Labs,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'USA'}]"
145,additude,[{'country_code': 'AUS'}]
146,AAPT,[{'country_code': 'AUS'}]
147,Green Pages Australia,[{'country_code': 'AUS'}]
148,Voxalot,[{'country_code': 'AUS'}]
149,hybris,"[{'country_code': 'DEU'}, {'country_code': 'CAN'}, {'country_code': 'AUS'}, {'country_code': 'AUT'}, {'country_code': 'NLD'}, {'country_code': 'BRA'}, {'country_code': 'FRA'}, {'country_code': 'GBR'}, {'country_code': 'HKG'}, {'country_code': 'ITA'}, {'country_code': 'JPN'}, {'country_code': 'SWE'}, {'country_code': 'POL'}, {'country_code': 'CHE'}, {'country_code': 'USA'}, {'country_code': 'USA'}]"
150,Shane Longman,[{'country_code': 'AUS'}]
151,ShedWorx,[{'country_code': 'AUS'}]
152,Komosion,[{'country_code': 'AUS'}]
153,Knockout Bids,[{'country_code': 'AUS'}]
154,dp dialogue,[{'country_code': 'AUS'}]
155,GizmoVideo,[{'country_code': 'AUS'}]
156,Radioactive Networks,[{'country_code': 'AUS'}]
157,Veeam Software,"[{'country_code': 'USA'}, {'country_code': 'FRA'}, {'country_code': 'AUS'}, {'country_code': 'NLD'}, {'country_code': 'DEU'}, {'country_code': 'RUS'}, {'country_code': 'POL'}, {'country_code': 'IND'}, {'country_code': 'ITA'}, {'country_code': 'TUR'}, {'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'ISR'}, {'country_code': 'CAN'}, {'country_code': 'SWE'}, {'country_code': 'ESP'}, {'country_code': 'ZAF'}, {'country_code': 'SGP'}]"
158,Friendsta,[{'country_code': 'AUS'}]
159,Clear2Pay,"[{'country_code': 'BEL'}, {'country_code': 'GBR'}, {'country_code': 'POL'}, {'country_code': 'AUS'}, {'country_code': 'SGP'}, {'country_code': 'USA'}, {'country_code': 'USA'}]"
160,e-CBD,[{'country_code': 'AUS'}]
161,ador - Australian Dining Out Reviews,[{'country_code': 'AUS'}]
162,Aconex,"[{'country_code': 'AUS'}, {'country_code': 'USA'}, {'country_code': 'IND'}, {'country_code': 'GBR'}, {'country_code': 'HKG'}, {'country_code': 'ARE'}]"
163,Avega Systems,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
164,Moodle,[{'country_code': 'AUS'}]
165,Silverpop,"[{'country_code': 'USA'}, {'country_code': 'GBR'}, {'country_code': 'DEU'}, {'country_code': 'AUS'}, {'country_code': 'USA'}]"
166,Sensory Networks,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
167,PC Handyman,[{'country_code': 'AUS'}]
168,Xumii,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
169,GetPrice,"[{'country_code': 'AUS'}, {'country_code': 'ISR'}]"
170,Free Ads Australia,[{'country_code': 'AUS'}]
171,Sell My Castle,[{'country_code': 'AUS'}]
172,Beyond NG,[{'country_code': 'AUS'}]
173,Clear Light Digital,[{'country_code': 'AUS'}]
174,Vquence,[{'country_code': 'AUS'}]
175,Conversant Media,[{'country_code': 'AUS'}]
176,Perkler,[{'country_code': 'AUS'}]
177,TravelCLICK,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'ESP'}, {'country_code': 'ARE'}, {'country_code': 'CHN'}, {'country_code': 'JPN'}, {'country_code': 'AUS'}]"
178,Progen Pharmaceuticals Limited,"[{'country_code': 'AUS'}, {'country_code': 'USA'}]"
179,trafficjam,[{'country_code': 'AUS'}]
180,Riverbed Technology,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'BRA'}, {'country_code': 'GBR'}, {'country_code': 'ESP'}, {'country_code': 'AUS'}]"
181,Travel Distribution Systems,[{'country_code': 'AUS'}]
